species_common_name,species_ageing_group,species_code,species_science_name,ageing_method_codes
bluntnose sixgill shark,sharks_skates,27,hexanchus griseus,12
basking shark,sharks_skates,34,cetorhinus maximus,12
salmon shark,sharks_skates,36,lamna ditropis,12
brown cat shark,sharks_skates,38,apristurus brunneus,12
blue shark,sharks_skates,41,prionace glauca,12
pacific sleeper shark,sharks_skates,43,somniosus pacificus,12
north pacific spiny dogfish,dogfish,44,squalus suckleyi,11
aleutian skate,sharks_skates,52,bathyraja aleutica,12
abyssal skate,sharks_skates,54,bathyraja abyssicola,12
broad skate,sharks_skates,55,amblyraja badia,12
big skate,sharks_skates,56,beringraja binoculata,12
roughtail skate,sharks_skates,57,bathyraja trachura,12
sandpaper skate,sharks_skates,58,bathyraja interrupta,12
longnose skate,sharks_skates,59,raja rhina,12
alaska skate,sharks_skates,61,bathyraja parmifera,12
spotted ratfish,NA,66,hydrolagus colliei,NA
whitebait smelt,NA,138,allosmerus elongatus,NA
pacific flatnose,NA,220,antimora microlepis,NA
pacific cod,pcod_lingcod,222,gadus macrocephalus,6
pacific tomcod,NA,226,microgadus proximus,NA
walleye pollock,pollock,228,gadus chalcogrammus,7
bigfin eelpout,NA,233,lycodes cortezianus,NA
twoline eelpout,NA,235,bothrocara brunneum,NA
shortfin eelpout,NA,242,lycodes brevipes,NA
black eelpout,NA,243,lycodes diapterus,NA
wattled eelpout,NA,244,lycodes palearis,NA
blackbelly eelpout,NA,245,lycodes pacificus,NA
pacific grenadier,NA,251,coryphaenoides acrolepis,NA
threadfin grenadier,NA,254,coryphaenoides filifer,NA
giant grenadier,NA,256,albatrossia pectoralis,NA
california grenadier,NA,257,nezumia stelgidolepis,NA
shiner perch,NA,304,cymatogaster aggregata,NA
pearly prickleback,NA,331,bryozoichthys marjorius,NA
snake prickleback,NA,337,lumpenus sagitta,NA
whitebarred prickleback,NA,340,poroclinus rothrocki,NA
wolf eel,NA,351,anarrhichthys ocellatus,NA
giant wrymouth,NA,355,cryptacanthodes giganteus,NA
