maturity_convention_code,maturity_convention_description,specimen_sex_code,maturity_convention_maxvalue,mature_at
1,ROCKFISH (1977+),1,7,3
1,ROCKFISH (1977+),2,7,3
2,HAKE (1977+),1,12,3
2,HAKE (1977+),2,12,3
3,SABLEFISH (1983+),1,12,3
3,SABLEFISH (1983+),2,12,3
4,FLATFISH (1978+),1,7,3
4,FLATFISH (1978+),2,7,3
5,HAKE (AMR simplified),1,12,4
5,HAKE (AMR simplified),2,12,4
6,PACIFIC COD (1973-75),1,4,2
6,PACIFIC COD (1973-75),2,4,2
7,PACIFIC COD (1975+),1,7,3
7,PACIFIC COD (1975+),2,7,3
8,LINGCOD (1985+),1,11,3
8,LINGCOD (1985+),2,11,3
10,DOGFISH,1,99,90
10,DOGFISH,2,99,55
11,PORT SAMPLES,1,7,3
11,PORT SAMPLES,2,7,3
12,THORNYHEAD SIMPLIFIED,1,3,2
12,THORNYHEAD SIMPLIFIED,2,3,2
13,AMR,1,7,3
13,AMR,2,7,3
15,ROCKFISH (1975-77),1,8,3
15,ROCKFISH (1975-77),2,8,3
16,"SARDINES (I, M OR R)",1,3,2
16,"SARDINES (I, M OR R)",2,3,2
17,SKATE (2002+),1,9,2
17,SKATE (2002+),2,9,2
18,LINGCOD / SABLEFISH (1977-1982),1,32,3
18,LINGCOD / SABLEFISH (1977-1982),2,32,3
19,HAKE (U.S.),1,5,3
19,HAKE (U.S.),2,5,3
20,SABLEFISH SIMPLIFIED,1,3,2
20,SABLEFISH SIMPLIFIED,2,3,2
21,GENERAL GROUNDFISH (LATE 1960'S-EARLY 1970'S),1,9,3
21,GENERAL GROUNDFISH (LATE 1960'S-EARLY 1970'S),2,9,3
22,SIMPLIFIED - OLD,1,3,2
22,SIMPLIFIED - OLD,2,3,2
23,MISC. SPECIES SIMPLIFIED,1,3,2
23,MISC. SPECIES SIMPLIFIED,2,3,2
24,LINGCOD 7-STAGE,1,7,3
24,LINGCOD 7-STAGE,2,7,3
25,HAKE-POLLOCK 7-STAGE,1,7,3
25,HAKE-POLLOCK 7-STAGE,2,7,3
26,RATFISH,1,7,3
26,RATFISH,2,7,3
